
(397 rows affected)
prd_id,clean_prd_key,cat_id,clean_prd_name,clean_prd_cost,clean_prd_line,prd_start_dt,prd_end_dt
273,FR-R38R-62,CO-RF,LL Road Frame - Red- 62,187.00,Road,2012-07-01,2008-12-27
274,FR-R72R-44,CO-RF,ML Road Frame - Red- 44,352.00,Road,2011-07-01,2007-12-28
275,FR-R72R-48,CO-RF,ML Road Frame - Red- 48,352.00,Road,2011-07-01,2007-12-28
276,FR-R72R-52,CO-RF,ML Road Frame - Red- 52,352.00,Road,2011-07-01,2007-12-28
277,FR-R72R-58,CO-RF,ML Road Frame - Red- 58,352.00,Road,2011-07-01,2007-12-28
278,FR-R72R-60,CO-RF,ML Road Frame - Red- 60,352.00,Road,2011-07-01,2007-12-28
279,FR-R38B-44,CO-RF,LL Road Frame - Black- 44,176.00,Road,2011-07-01,2007-12-28
280,FR-R38B-44,CO-RF,LL Road Frame - Black- 44,170.00,Road,2012-07-01,2008-12-27
281,FR-R38B-44,CO-RF,LL Road Frame - Black- 44,205.00,Road,2013-07-01,NULL
282,FR-R38B-48,CO-RF,LL Road Frame - Black- 48,176.00,Road,2011-07-01,2007-12-28
283,FR-R38B-48,CO-RF,LL Road Frame - Black- 48,170.00,Road,2012-07-01,2008-12-27
284,FR-R38B-48,CO-RF,LL Road Frame - Black- 48,205.00,Road,2013-07-01,NULL
285,FR-R38B-52,CO-RF,LL Road Frame - Black- 52,176.00,Road,2011-07-01,2007-12-28
286,FR-R38B-52,CO-RF,LL Road Frame - Black- 52,170.00,Road,2012-07-01,2008-12-27
287,FR-R38B-52,CO-RF,LL Road Frame - Black- 52,205.00,Road,2013-07-01,NULL
288,FR-M94S-42,CO-MF,HL Mountain Frame - Silver- 42,624.00,Mountain,2011-07-01,2007-12-28
289,FR-M94S-42,CO-MF,HL Mountain Frame - Silver- 42,661.00,Mountain,2012-07-01,2008-12-27
290,FR-M94S-42,CO-MF,HL Mountain Frame - Silver- 42,747.00,Mountain,2013-07-01,NULL
291,FR-M94S-44,CO-MF,HL Mountain Frame - Silver- 44,707.00,Mountain,2011-07-01,2007-12-28
292,FR-M94S-52,CO-MF,HL Mountain Frame - Silver- 48,707.00,Mountain,2011-07-01,2007-12-28
293,FR-M94S-46,CO-MF,HL Mountain Frame - Silver- 46,624.00,Mountain,2011-07-01,2007-12-28
294,FR-M94S-46,CO-MF,HL Mountain Frame - Silver- 46,661.00,Mountain,2012-07-01,2008-12-27
295,FR-M94S-46,CO-MF,HL Mountain Frame - Silver- 46,747.00,Mountain,2013-07-01,NULL
296,FR-M94B-42,CO-MF,HL Mountain Frame - Black- 42,617.00,Mountain,2011-07-01,2007-12-28
297,FR-M94B-42,CO-MF,HL Mountain Frame - Black- 42,654.00,Mountain,2012-07-01,2008-12-27
298,FR-M94B-42,CO-MF,HL Mountain Frame - Black- 42,739.00,Mountain,2013-07-01,NULL
299,FR-M94B-44,CO-MF,HL Mountain Frame - Black- 44,699.00,Mountain,2011-07-01,2007-12-28
300,FR-M94B-48,CO-MF,HL Mountain Frame - Black- 48,699.00,Mountain,2011-07-01,2007-12-28
301,FR-M94B-46,CO-MF,HL Mountain Frame - Black- 46,617.00,Mountain,2011-07-01,2007-12-28
302,FR-M94B-46,CO-MF,HL Mountain Frame - Black- 46,654.00,Mountain,2012-07-01,2008-12-27
303,FR-M94B-46,CO-MF,HL Mountain Frame - Black- 46,739.00,Mountain,2013-07-01,NULL
304,FR-M94B-38,CO-MF,HL Mountain Frame - Black- 38,617.00,Mountain,2011-07-01,2007-12-28
305,FR-M94B-38,CO-MF,HL Mountain Frame - Black- 38,654.00,Mountain,2012-07-01,2008-12-27
306,FR-M94B-38,CO-MF,HL Mountain Frame - Black- 38,739.00,Mountain,2013-07-01,NULL
307,FR-M94S-38,CO-MF,HL Mountain Frame - Silver- 38,624.00,Mountain,2011-07-01,2007-12-28
308,FR-M94S-38,CO-MF,HL Mountain Frame - Silver- 38,661.00,Mountain,2012-07-01,2008-12-27
309,FR-M94S-38,CO-MF,HL Mountain Frame - Silver- 38,747.00,Mountain,2013-07-01,NULL
310,BK-R93R-62,BI-RB,Road-150 Red- 62,2171.00,Road,2011-07-01,2007-12-28
311,BK-R93R-44,BI-RB,Road-150 Red- 44,2171.00,Road,2011-07-01,2007-12-28
312,BK-R93R-48,BI-RB,Road-150 Red- 48,2171.00,Road,2011-07-01,2007-12-28
313,BK-R93R-52,BI-RB,Road-150 Red- 52,2171.00,Road,2011-07-01,2007-12-28
314,BK-R93R-56,BI-RB,Road-150 Red- 56,2171.00,Road,2011-07-01,2007-12-28
315,BK-R68R-58,BI-RB,Road-450 Red- 58,885.00,Road,2011-07-01,2007-12-28
316,BK-R68R-60,BI-RB,Road-450 Red- 60,885.00,Road,2011-07-01,2007-12-28
317,BK-R68R-44,BI-RB,Road-450 Red- 44,885.00,Road,2011-07-01,2007-12-28
318,BK-R68R-48,BI-RB,Road-450 Red- 48,885.00,Road,2011-07-01,2007-12-28
319,BK-R68R-52,BI-RB,Road-450 Red- 52,885.00,Road,2011-07-01,2007-12-28
320,BK-R50R-58,BI-RB,Road-650 Red- 58,413.00,Road,2011-07-01,2007-12-28
321,BK-R50R-58,BI-RB,Road-650 Red- 58,487.00,Road,2012-07-01,2008-12-27
322,BK-R50R-60,BI-RB,Road-650 Red- 60,413.00,Road,2011-07-01,2007-12-28
323,BK-R50R-60,BI-RB,Road-650 Red- 60,487.00,Road,2012-07-01,2008-12-27
324,BK-R50R-62,BI-RB,Road-650 Red- 62,413.00,Road,2011-07-01,2007-12-28
325,BK-R50R-62,BI-RB,Road-650 Red- 62,487.00,Road,2012-07-01,2008-12-27
326,BK-R50R-44,BI-RB,Road-650 Red- 44,413.00,Road,2011-07-01,2007-12-28
327,BK-R50R-44,BI-RB,Road-650 Red- 44,487.00,Road,2012-07-01,2008-12-27
328,BK-R50R-48,BI-RB,Road-650 Red- 48,413.00,Road,2011-07-01,2007-12-28
329,BK-R50R-48,BI-RB,Road-650 Red- 48,487.00,Road,2012-07-01,2008-12-27
330,BK-R50R-52,BI-RB,Road-650 Red- 52,413.00,Road,2011-07-01,2007-12-28
331,BK-R50R-52,BI-RB,Road-650 Red- 52,487.00,Road,2012-07-01,2008-12-27
332,BK-R50B-58,BI-RB,Road-650 Black- 58,413.00,Road,2011-07-01,2007-12-28
333,BK-R50B-58,BI-RB,Road-650 Black- 58,487.00,Road,2012-07-01,2008-12-27
334,BK-R50B-60,BI-RB,Road-650 Black- 60,413.00,Road,2011-07-01,2007-12-28
335,BK-R50B-60,BI-RB,Road-650 Black- 60,487.00,Road,2012-07-01,2008-12-27
336,BK-R50B-62,BI-RB,Road-650 Black- 62,413.00,Road,2011-07-01,2007-12-28
337,BK-R50B-62,BI-RB,Road-650 Black- 62,487.00,Road,2012-07-01,2008-12-27
338,BK-R50B-44,BI-RB,Road-650 Black- 44,413.00,Road,2011-07-01,2007-12-28
339,BK-R50B-44,BI-RB,Road-650 Black- 44,487.00,Road,2012-07-01,2008-12-27
340,BK-R50B-48,BI-RB,Road-650 Black- 48,413.00,Road,2011-07-01,2007-12-28
341,BK-R50B-48,BI-RB,Road-650 Black- 48,487.00,Road,2012-07-01,2008-12-27
342,BK-R50B-52,BI-RB,Road-650 Black- 52,413.00,Road,2011-07-01,2007-12-28
343,BK-R50B-52,BI-RB,Road-650 Black- 52,487.00,Road,2012-07-01,2008-12-27
344,BK-M82S-38,BI-MB,Mountain-100 Silver- 38,1912.00,Mountain,2011-07-01,2007-12-28
345,BK-M82S-42,BI-MB,Mountain-100 Silver- 42,1912.00,Mountain,2011-07-01,2007-12-28
346,BK-M82S-44,BI-MB,Mountain-100 Silver- 44,1912.00,Mountain,2011-07-01,2007-12-28
347,BK-M82S-48,BI-MB,Mountain-100 Silver- 48,1912.00,Mountain,2011-07-01,2007-12-28
348,BK-M82B-38,BI-MB,Mountain-100 Black- 38,1898.00,Mountain,2011-07-01,2007-12-28
349,BK-M82B-42,BI-MB,Mountain-100 Black- 42,1898.00,Mountain,2011-07-01,2007-12-28
350,BK-M82B-44,BI-MB,Mountain-100 Black- 44,1898.00,Mountain,2011-07-01,2007-12-28
351,BK-M82B-48,BI-MB,Mountain-100 Black- 48,1898.00,Mountain,2011-07-01,2007-12-28
352,BK-M68S-38,BI-MB,Mountain-200 Silver- 38,1118.00,Mountain,2012-07-01,2008-12-27
353,BK-M68S-38,BI-MB,Mountain-200 Silver- 38,1266.00,Mountain,2013-07-01,NULL
354,BK-M68S-42,BI-MB,Mountain-200 Silver- 42,1118.00,Mountain,2012-07-01,2008-12-27
355,BK-M68S-42,BI-MB,Mountain-200 Silver- 42,1266.00,Mountain,2013-07-01,NULL
356,BK-M68S-46,BI-MB,Mountain-200 Silver- 46,1118.00,Mountain,2012-07-01,2008-12-27
357,BK-M68S-46,BI-MB,Mountain-200 Silver- 46,1266.00,Mountain,2013-07-01,NULL
358,BK-M68B-38,BI-MB,Mountain-200 Black- 38,1106.00,Mountain,2012-07-01,2008-12-27
359,BK-M68B-38,BI-MB,Mountain-200 Black- 38,1252.00,Mountain,2013-07-01,NULL
360,BK-M68B-42,BI-MB,Mountain-200 Black- 42,1106.00,Mountain,2012-07-01,2008-12-27
361,BK-M68B-42,BI-MB,Mountain-200 Black- 42,1252.00,Mountain,2013-07-01,NULL
362,BK-M68B-46,BI-MB,Mountain-200 Black- 46,1106.00,Mountain,2012-07-01,2008-12-27
363,BK-M68B-46,BI-MB,Mountain-200 Black- 46,1252.00,Mountain,2013-07-01,NULL
364,BK-M47B-38,BI-MB,Mountain-300 Black- 38,598.00,Mountain,2012-07-01,2008-12-27
365,BK-M47B-40,BI-MB,Mountain-300 Black- 40,598.00,Mountain,2012-07-01,2008-12-27
366,BK-M47B-44,BI-MB,Mountain-300 Black- 44,598.00,Mountain,2012-07-01,2008-12-27
367,BK-M47B-48,BI-MB,Mountain-300 Black- 48,598.00,Mountain,2012-07-01,2008-12-27
368,BK-R89R-44,BI-RB,Road-250 Red- 44,1519.00,Road,2012-07-01,2008-12-27
369,BK-R89R-48,BI-RB,Road-250 Red- 48,1519.00,Road,2012-07-01,2008-12-27
370,BK-R89R-52,BI-RB,Road-250 Red- 52,1519.00,Road,2012-07-01,2008-12-27
371,BK-R89R-58,BI-RB,Road-250 Red- 58,1321.00,Road,2012-07-01,2008-12-27
372,BK-R89R-58,BI-RB,Road-250 Red- 58,1555.00,Road,2013-07-01,NULL
373,BK-R89B-44,BI-RB,Road-250 Black- 44,1321.00,Road,2012-07-01,2008-12-27
374,BK-R89B-44,BI-RB,Road-250 Black- 44,1555.00,Road,2013-07-01,NULL
375,BK-R89B-48,BI-RB,Road-250 Black- 48,1321.00,Road,2012-07-01,2008-12-27
376,BK-R89B-48,BI-RB,Road-250 Black- 48,1555.00,Road,2013-07-01,NULL
377,BK-R89B-52,BI-RB,Road-250 Black- 52,1321.00,Road,2012-07-01,2008-12-27
378,BK-R89B-52,BI-RB,Road-250 Black- 52,1555.00,Road,2013-07-01,NULL
379,BK-R89B-58,BI-RB,Road-250 Black- 58,1321.00,Road,2012-07-01,2008-12-27
380,BK-R89B-58,BI-RB,Road-250 Black- 58,1555.00,Road,2013-07-01,NULL
381,BK-R64Y-38,BI-RB,Road-550-W Yellow- 38,606.00,Road,2012-07-01,2008-12-27
382,BK-R64Y-38,BI-RB,Road-550-W Yellow- 38,713.00,Road,2013-07-01,NULL
383,BK-R64Y-40,BI-RB,Road-550-W Yellow- 40,606.00,Road,2012-07-01,2008-12-27
384,BK-R64Y-40,BI-RB,Road-550-W Yellow- 40,713.00,Road,2013-07-01,NULL
385,BK-R64Y-42,BI-RB,Road-550-W Yellow- 42,606.00,Road,2012-07-01,2008-12-27
386,BK-R64Y-42,BI-RB,Road-550-W Yellow- 42,713.00,Road,2013-07-01,NULL
387,BK-R64Y-44,BI-RB,Road-550-W Yellow- 44,606.00,Road,2012-07-01,2008-12-27
388,BK-R64Y-44,BI-RB,Road-550-W Yellow- 44,713.00,Road,2013-07-01,NULL
389,BK-R64Y-48,BI-RB,Road-550-W Yellow- 48,606.00,Road,2012-07-01,2008-12-27
390,BK-R64Y-48,BI-RB,Road-550-W Yellow- 48,713.00,Road,2013-07-01,NULL
391,FK-1639,CO-FO,LL Fork,66.00,n/a,2012-07-01,2008-12-27
392,FK-5136,CO-FO,ML Fork,78.00,n/a,2012-07-01,2008-12-27
393,FK-9939,CO-FO,HL Fork,102.00,n/a,2012-07-01,2008-12-27
394,HS-0296,CO-HS,LL Headset,15.00,n/a,2012-07-01,2008-12-27
395,HS-2451,CO-HS,ML Headset,45.00,n/a,2012-07-01,2008-12-27
396,HS-3479,CO-HS,HL Headset,55.00,n/a,2012-07-01,2008-12-27
397,HB-M243,CO-HB,LL Mountain Handlebars,18.00,Mountain,2012-07-01,2008-12-27
398,HB-M243,CO-HB,LL Mountain Handlebars,20.00,Mountain,2013-07-01,NULL
399,HB-M763,CO-HB,ML Mountain Handlebars,25.00,Mountain,2012-07-01,2008-12-27
400,HB-M763,CO-HB,ML Mountain Handlebars,27.00,Mountain,2013-07-01,NULL
401,HB-M918,CO-HB,HL Mountain Handlebars,49.00,Mountain,2012-07-01,2008-12-27
402,HB-M918,CO-HB,HL Mountain Handlebars,53.00,Mountain,2013-07-01,NULL
403,HB-R504,CO-HB,LL Road Handlebars,18.00,Road,2012-07-01,2008-12-27
404,HB-R504,CO-HB,LL Road Handlebars,20.00,Road,2013-07-01,NULL
405,HB-R720,CO-HB,ML Road Handlebars,25.00,Road,2012-07-01,2008-12-27
406,HB-R720,CO-HB,ML Road Handlebars,27.00,Road,2013-07-01,NULL
407,HB-R956,CO-HB,HL Road Handlebars,49.00,Road,2012-07-01,2008-12-27
408,HB-R956,CO-HB,HL Road Handlebars,53.00,Road,2013-07-01,NULL
409,FR-M63B-38,CO-MF,ML Mountain Frame - Black- 38,186.00,Mountain,2012-07-01,2008-12-27
410,FW-M423,CO-WH,LL Mountain Front Wheel,27.00,Mountain,2012-07-01,2008-12-27
411,FW-M762,CO-WH,ML Mountain Front Wheel,93.00,Mountain,2012-07-01,2008-12-27
412,FW-M928,CO-WH,HL Mountain Front Wheel,133.00,Mountain,2012-07-01,2008-12-27
413,FW-R623,CO-WH,LL Road Front Wheel,38.00,Road,2012-07-01,2008-12-27
414,FW-R762,CO-WH,ML Road Front Wheel,110.00,Road,2012-07-01,2008-12-27
415,FW-R820,CO-WH,HL Road Front Wheel,147.00,Road,2012-07-01,2008-12-27
416,FW-T905,CO-WH,Touring Front Wheel,97.00,Touring,2012-07-01,2008-12-27
417,FR-R72Y-38,CO-RF,ML Road Frame-W - Yellow- 38,300.00,Road,2012-07-01,2008-12-27
418,FR-R72Y-38,CO-RF,ML Road Frame-W - Yellow- 38,361.00,Road,2013-07-01,NULL
419,RW-M423,CO-WH,LL Mountain Rear Wheel,39.00,Mountain,2012-07-01,2008-12-27
420,RW-M762,CO-WH,ML Mountain Rear Wheel,105.00,Mountain,2012-07-01,2008-12-27
421,RW-M928,CO-WH,HL Mountain Rear Wheel,145.00,Mountain,2012-07-01,2008-12-27
422,RW-R623,CO-WH,LL Road Rear Wheel,50.00,Road,2012-07-01,2008-12-27
423,RW-R762,CO-WH,ML Road Rear Wheel,122.00,Road,2012-07-01,2008-12-27
424,RW-R820,CO-WH,HL Road Rear Wheel,159.00,Road,2012-07-01,2008-12-27
425,RW-T905,CO-WH,Touring Rear Wheel,109.00,Touring,2012-07-01,2008-12-27
426,FR-M63B-40,CO-MF,ML Mountain Frame - Black- 40,186.00,Mountain,2012-07-01,2008-12-27
427,FR-M63B-44,CO-MF,ML Mountain Frame - Black- 44,186.00,Mountain,2012-07-01,2008-12-27
428,FR-M63B-48,CO-MF,ML Mountain Frame - Black- 48,186.00,Mountain,2012-07-01,2008-12-27
429,FR-R72Y-40,CO-RF,ML Road Frame-W - Yellow- 40,300.00,Road,2012-07-01,2008-12-27
430,FR-R72Y-40,CO-RF,ML Road Frame-W - Yellow- 40,361.00,Road,2013-07-01,NULL
431,FR-R72Y-42,CO-RF,ML Road Frame-W - Yellow- 42,300.00,Road,2012-07-01,2008-12-27
432,FR-R72Y-42,CO-RF,ML Road Frame-W - Yellow- 42,361.00,Road,2013-07-01,NULL
433,FR-R72Y-44,CO-RF,ML Road Frame-W - Yellow- 44,300.00,Road,2012-07-01,2008-12-27
434,FR-R72Y-44,CO-RF,ML Road Frame-W - Yellow- 44,361.00,Road,2013-07-01,NULL
435,FR-R72Y-48,CO-RF,ML Road Frame-W - Yellow- 48,300.00,Road,2012-07-01,2008-12-27
436,FR-R72Y-48,CO-RF,ML Road Frame-W - Yellow- 48,361.00,Road,2013-07-01,NULL
437,FR-R92B-62,CO-RF,HL Road Frame - Black- 62,722.00,Road,2012-07-01,2008-12-27
438,FR-R92B-62,CO-RF,HL Road Frame - Black- 62,869.00,Road,2013-07-01,NULL
439,FR-R92B-44,CO-RF,HL Road Frame - Black- 44,722.00,Road,2012-07-01,2008-12-27
440,FR-R92B-44,CO-RF,HL Road Frame - Black- 44,869.00,Road,2013-07-01,NULL
441,FR-R92B-48,CO-RF,HL Road Frame - Black- 48,722.00,Road,2012-07-01,2008-12-27
442,FR-R92B-48,CO-RF,HL Road Frame - Black- 48,869.00,Road,2013-07-01,NULL
443,FR-R92B-52,CO-RF,HL Road Frame - Black- 52,722.00,Road,2012-07-01,2008-12-27
444,FR-R92B-52,CO-RF,HL Road Frame - Black- 52,869.00,Road,2013-07-01,NULL
445,SH-M897-S,CL-SH,Men's Sports Shorts- S,25.00,Other Sales,2012-07-01,2008-12-27
446,PA-T100,AC-PA,Touring-Panniers- Large,52.00,Touring,2012-07-01,2008-12-27
447,LO-C100,AC-LO,Cable Lock,10.00,Other Sales,2012-07-01,2008-12-27
448,PU-0452,AC-PU,Minipump,8.00,Other Sales,2012-07-01,2008-12-27
449,PU-M044,AC-PU,Mountain Pump,10.00,Mountain,2012-07-01,2008-12-27
450,LT-T990,AC-LI,Taillights - Battery-Powered,6.00,Road,2012-07-01,2008-12-27
451,LT-H902,AC-LI,Headlights - Dual-Beam,14.00,Road,2012-07-01,2008-12-27
452,LT-H903,AC-LI,Headlights - Weatherproof,19.00,Road,2012-07-01,2008-12-27
453,SH-M897-M,CL-SH,Men's Sports Shorts- M,25.00,Other Sales,2012-07-01,2008-12-27
454,SH-M897-L,CL-SH,Men's Sports Shorts- L,25.00,Other Sales,2012-07-01,2008-12-27
455,SH-M897-X,CL-SH,Men's Sports Shorts- XL,25.00,Other Sales,2012-07-01,2008-12-27
456,TG-W091-S,CL-TI,Women's Tights- S,31.00,Other Sales,2012-07-01,2008-12-27
457,TG-W091-M,CL-TI,Women's Tights- M,31.00,Other Sales,2012-07-01,2008-12-27
458,TG-W091-L,CL-TI,Women's Tights- L,31.00,Other Sales,2012-07-01,2008-12-27
459,SB-M891-S,CL-BS,Men's Bib-Shorts- S,37.00,Other Sales,2012-07-01,2008-12-27
460,SB-M891-M,CL-BS,Men's Bib-Shorts- M,37.00,Other Sales,2012-07-01,2008-12-27
461,SB-M891-L,CL-BS,Men's Bib-Shorts- L,37.00,Other Sales,2012-07-01,2008-12-27
462,GL-H102-S,CL-GL,Half-Finger Gloves- S,10.00,Other Sales,2012-07-01,2008-12-27
463,GL-H102-S,CL-GL,Half-Finger Gloves- S,9.00,Other Sales,2013-07-01,NULL
464,GL-H102-M,CL-GL,Half-Finger Gloves- M,10.00,Other Sales,2012-07-01,2008-12-27
465,GL-H102-M,CL-GL,Half-Finger Gloves- M,9.00,Other Sales,2013-07-01,NULL
466,GL-H102-L,CL-GL,Half-Finger Gloves- L,10.00,Other Sales,2012-07-01,2008-12-27
467,GL-H102-L,CL-GL,Half-Finger Gloves- L,9.00,Other Sales,2013-07-01,NULL
468,GL-F110-S,CL-GL,Full-Finger Gloves- S,16.00,Mountain,2012-07-01,2008-12-27
469,GL-F110-M,CL-GL,Full-Finger Gloves- M,16.00,Mountain,2012-07-01,2008-12-27
470,GL-F110-L,CL-GL,Full-Finger Gloves- L,16.00,Mountain,2012-07-01,2008-12-27
471,VE-C304-S,CL-VE,Classic Vest- S,24.00,Other Sales,2013-07-01,NULL
472,VE-C304-M,CL-VE,Classic Vest- M,24.00,Other Sales,2013-07-01,NULL
473,VE-C304-L,CL-VE,Classic Vest- L,24.00,Other Sales,2013-07-01,NULL
474,SH-W890-S,CL-SH,Women's Mountain Shorts- S,26.00,Mountain,2013-07-01,NULL
475,SH-W890-M,CL-SH,Women's Mountain Shorts- M,26.00,Mountain,2013-07-01,NULL
476,SH-W890-L,CL-SH,Women's Mountain Shorts- L,26.00,Mountain,2013-07-01,NULL
477,WB-H098,AC-BC,Water Bottle - 30 oz.,2.00,Other Sales,2013-07-01,NULL
478,BC-M005,AC-BC,Mountain Bottle Cage,4.00,Mountain,2013-07-01,NULL
479,BC-R205,AC-BC,Road Bottle Cage,3.00,Road,2013-07-01,NULL
